id,input_text,expected_brf
323,Dog cherry jumps banana cherry.,
324,The lazy dog brown brown.,
325,Apple fox over dog jumps.,
326,Quick lazy brown fox cherry.,
327,Cherry lazy jumps jumps lazy.,
328,Quick brown jumps banana banana.,
329,Over jumps lazy dog over.,
330,Over jumps fox fox fox.,
331,Jumps jumps dog cherry fox.,
332,Fox brown lazy jumps dog.,
333,Quick apple dog quick brown.,
334,Dog dog brown banana cherry.,
335,Banana brown jumps apple quick.,
336,Cherry apple quick the cherry.,
337,Dog apple dog jumps apple.,
338,Dog over brown brown the.,
339,Quick banana banana over apple.,
340,The lazy brown lazy lazy.,
341,Lazy the dog cherry apple.,
342,Over quick apple cherry quick.,
343,Lazy lazy brown dog dog.,
344,Jumps brown cherry lazy jumps.,
345,Apple lazy the banana fox.,
346,The jumps cherry jumps cherry.,
347,Apple dog lazy quick dog.,
348,Cherry brown cherry fox dog.,
349,Dog over dog apple over.,
350,Apple cherry brown fox brown.,
351,Apple the jumps apple brown.,
352,Jumps brown banana fox banana.,
353,Quick brown dog lazy quick.,
354,Quick dog lazy brown cherry.,
355,Apple over lazy jumps fox.,
356,Dog lazy lazy apple quick.,
357,Apple over banana cherry jumps.,
358,The apple the apple over.,
359,Brown lazy over quick lazy.,
360,Quick jumps over the fox.,
361,Fox the cherry fox jumps.,
362,Jumps over jumps brown jumps.,
363,The banana lazy banana banana.,
364,Brown lazy dog cherry cherry.,
365,Jumps over dog apple fox.,
366,Dog lazy fox brown lazy.,
367,Over dog brown over the.,
368,The brown fox dog dog.,
369,The apple the lazy fox.,
370,Jumps dog the brown the.,
371,Dog brown dog quick over.,
372,Over jumps apple brown lazy.,
373,Fox jumps fox the apple.,
374,Quick over brown dog the.,
375,Brown apple lazy over brown.,
376,Lazy dog over apple cherry.,
377,Lazy jumps dog dog over.,
378,Apple dog over lazy fox.,
379,Banana brown apple apple lazy.,
380,Lazy cherry cherry fox apple.,
381,Brown quick brown fox lazy.,
382,Lazy dog fox jumps lazy.,
383,Cherry brown cherry the lazy.,
384,Jumps apple dog over fox dog.,
385,Quick jumps apple fox over banana.,
386,Fox jumps apple cherry cherry dog.,
387,Apple cherry quick apple banana banana.,
388,Over banana over brown lazy jumps.,
389,Lazy banana jumps quick over over.,
390,The the dog apple jumps dog.,
391,Over dog the quick over apple.,
392,The jumps cherry quick cherry banana.,
393,Lazy apple over quick apple dog.,
394,Brown over apple apple quick lazy.,
395,Jumps fox quick fox dog fox.,
396,Cherry fox brown lazy jumps fox.,
397,Banana the cherry jumps the over.,
398,Brown lazy banana lazy fox lazy.,
399,Over fox quick dog apple cherry.,
400,Brown jumps apple quick the cherry.,
